repo_name,file_path,url
learnk8s/spring-boot-k8s-hpa,kube/hpa.yaml,https://github.com/learnk8s/spring-boot-k8s-hpa/blob/64fced5d87e8e9ecaccb3b9a64989bfea0050e67/kube/hpa.yaml
krestomatio/moodle-operator,watches.yaml,https://github.com/krestomatio/moodle-operator/blob/ad59455d6e1d8d8fdf221883607f7b3ca2161a6c/watches.yaml
ChandanTeekinavar/flask-mongo_db,hpa.yml,https://github.com/ChandanTeekinavar/flask-mongo_db/blob/3f5c034cfebc87e57c0b07def2ca9316fd268ac4/hpa.yml
giel/cka_cursus,deployments/hpa-autoscaler.yaml,https://github.com/giel/cka_cursus/blob/ce201076909e6145e0c281a6590fdc8d0f7dcbe4/deployments/hpa-autoscaler.yaml
jwdavis/k8s-demo-app,deploy.yaml,https://github.com/jwdavis/k8s-demo-app/blob/4a969f0ac45339c1f82776cf47adc3b7036d78e6/deploy.yaml
egberthung/TugasPNTKubernetes,hpa.yaml,https://github.com/egberthung/TugasPNTKubernetes/blob/76c75ba7b711b428fba2ebb92c9fc3eb385949e1/hpa.yaml
iamsamitdev/K8SBasicAfter,hpa-v2.yaml,https://github.com/iamsamitdev/K8SBasicAfter/blob/dbebd4332953a5b463a6fa670a841a72d1a2fd2b/hpa-v2.yaml
kanamandarajesh/Kubernetes,hpa.yml,https://github.com/kanamandarajesh/Kubernetes/blob/4dab74e14f83b9120f917352204ab20387bd0e2f/hpa.yml
SPSCommerce/kube-hpa-scale-to-zero,demo/app.yml,https://github.com/SPSCommerce/kube-hpa-scale-to-zero/blob/4f597b4876fbd28ac65c7b62f3e4ceb98d7e1f3d/demo/app.yml
krestomatio/nfs-operator,watches.yaml,https://github.com/krestomatio/nfs-operator/blob/7990d2440ddf2d544a6bf26c24697279742e0d13/watches.yaml
parinamzn/manifest-sample-app,deploy.yaml,https://github.com/parinamzn/manifest-sample-app/blob/1203aed5ff65310fab6c86661ae70218802f0294/deploy.yaml
kishor4j/product-service,k8s/hpa.yaml,https://github.com/kishor4j/product-service/blob/72e02625f796f8fe176c90e04d7a2e21c4b74e22/k8s/hpa.yaml
SandroBarillaPXL/expertlab-sprint4-kubernetes,k8s/hpa.yml,https://github.com/SandroBarillaPXL/expertlab-sprint4-kubernetes/blob/ce2c9860a38a4d66d37728021fa9a8883dc3df50/k8s/hpa.yml
persevcareers/AzureKubernetesService,pdb/pdb.yml,https://github.com/persevcareers/AzureKubernetesService/blob/37c0434d5f167a3574f220beed4b8d9836d2b65b/pdb/pdb.yml
ranjitrupnawar/k8s-manifests,hpv/hpv.yml,https://github.com/ranjitrupnawar/k8s-manifests/blob/68263865001a395a21bcb40162cbacbf3814973a/hpv/hpv.yml
WagwanMira/SRE-DevOps-Task-,sre.yaml,https://github.com/WagwanMira/SRE-DevOps-Task-/blob/4fe910604463f1e7e5972966e2c2e3259c26a801/sre.yaml
OlafRadicke/own_dog_food,helm/chart_src/tekton/templates/release.yaml,https://github.com/OlafRadicke/own_dog_food/blob/7dcc222dde555788ef0005ec5a52438e69eee8b9/helm/chart_src/tekton/templates/release.yaml
covid19-patient-classification/classify-patient-microservice,hpa.yml,https://github.com/covid19-patient-classification/classify-patient-microservice/blob/4d4d1ce88ca59f8e3adf0ea53ad32571375592f7/hpa.yml
josuejero/finance-tracker,k8s/hpa.yaml,https://github.com/josuejero/finance-tracker/blob/77f2aade3fe24c6184c67e89a762d03173187dd0/k8s/hpa.yaml
hemamalini01/LZ-Yaml,product.yaml,https://github.com/hemamalini01/LZ-Yaml/blob/301d817cffa9e56fde590733b310f51e623a554c/product.yaml
gireeshp/simple-delay-api-k8-auto-scaler,k8.yaml,https://github.com/gireeshp/simple-delay-api-k8-auto-scaler/blob/d32fa0e0f4ed0a73f23f059ae2844eb80616707e/k8.yaml
HarshSonawane/go-zero-leaning,avinya.yml,https://github.com/HarshSonawane/go-zero-leaning/blob/d82aa7d974c5c57b8117951b7c81cdafee38535b/avinya.yml
l1dge/bdk8s,web-hpa.yaml,https://github.com/l1dge/bdk8s/blob/8baa4694bb5cc24ff1c1414d0b89e33f2091e4ed/web-hpa.yaml
DSC-HSU/codeathon_backend,deploy.yaml,https://github.com/DSC-HSU/codeathon_backend/blob/39b7d2d4bc3b5e2b377664eaedc8a0407785b814/deploy.yaml
Ishikapbhatt/kubernetes,HPA.yaml,https://github.com/Ishikapbhatt/kubernetes/blob/fb011d96d876fcb8c0d25a96c2e72a00828c875a/HPA.yaml
Tedydev-web/Client-ParkingLot,k8s.yaml,https://github.com/Tedydev-web/Client-ParkingLot/blob/2be935fe0da00ea8385c51e5ffab09aa1d1ef8bb/k8s.yaml
den-vasyliev/python,wp.hpa.yaml,https://github.com/den-vasyliev/python/blob/e52d88262703aac461eae2c5c124a820bf560056/wp.hpa.yaml
mohib988/Hpa-and-loadBalancing-with-Kubernetes,my-hpa.yaml,https://github.com/mohib988/Hpa-and-loadBalancing-with-Kubernetes/blob/c8224de7fc4a2b2f38e41c1e6ccf3b48161ff80e/my-hpa.yaml
