,owner,repo,path
1,0GiS0,tour-of-heroes-gitops-demos,helm/tour-of-heroes-chart/charts/api/templates/hpa.yaml
2,0hlov3,charts,charts/element-web/templates/hpa.yaml
7,18F,identity-dashboard,dockerfiles/application.yaml
8,18F,identity-dashboard,dockerfiles/application.yaml
9,18F,identity-dashboard,dockerfiles/application.yaml
10,18F,identity-dashboard,dockerfiles/application.yaml
11,18F,identity-loadtest,coredns.yaml
12,18F,identity-loadtest,coredns.yaml
13,18F,identity-pki,k8files/application.yaml
17,2000TuHuynh2002,OPSWAT-final_trainee_project,materials/backend/modules/EKS/helm/todo/templates/hpa.yaml
20,2gis,on-premise-helm-charts,charts/navi-restrictions/templates/hpa.yaml
21,2gis,on-premise-helm-charts,charts/navi-restrictions/templates/hpa.yaml
22,2gis,on-premise-helm-charts,charts/navi-restrictions/templates/hpa.yaml
33,4ALLPORTAL,helm-charts,charts/4allportal/templates/4allportal/horizontalPodAutoscaler.yaml
39,8gears,plausible-analytics-helm-chart,templates/hpa.yaml
40,99nil,arceus,static/kubernetes/autoscaling/HorizontalPodAutoscaler/v2beta2.yaml
41,A1doranM,HowProgrammingWork,"Docker, Kubernetes, Swarm/5. Kubernetes Hands On/44, 45, 46, 47, 48. Установка self-managed GitLab в AWS EKS/k8s/gitlab/gitlab.yaml"
42,A1doranM,HowProgrammingWork,"Docker, Kubernetes, Swarm/5. Kubernetes Hands On/44, 45, 46, 47, 48. Установка self-managed GitLab в AWS EKS/k8s/gitlab/gitlab.yaml"
43,A1doranM,HowProgrammingWork,"Docker, Kubernetes, Swarm/5. Kubernetes Hands On/44, 45, 46, 47, 48. Установка self-managed GitLab в AWS EKS/k8s/gitlab/gitlab.yaml"
56,AOT-Technologies,forms-flow-ai-charts,charts/forms-flow-data-analysis/templates/hpa.yaml
62,Abxtracted,abxtracted,k8s/hpa.yml
63,ActiveLearningStudio,ActiveLearningStudio-API,charts/curriki/templates/trax.yaml
69,Adesoji1,Configure-resources-on-a-Kubernetes-Cluster,kubernetes_cluster_resources/nginx-chart/templates/hpa.yaml
74,AgoraIO-Community,Agora-Cooperator,helm/assembly-api/templates/hpa.yaml
76,AhmadRafiee,DevOps_Certification,kubernetes/scenario/auto-scaling/php-app/04.php-hpa.yml
80,Ahoo-Wang,CoSec,k8s/cosec-gateway-hpa.yaml
81,Ahoo-Wang,CoSec,k8s/cosec-gateway-hpa.yaml
82,Ahoo-Wang,CoSec,k8s/cosec-gateway-hpa.yaml
83,Ahoo-Wang,CoSec,k8s/cosec-gateway-hpa.yaml
99,AlexRogalskiy,scala-patterns,k8s/secure/backend/hpa.yaml
100,AlexRogalskiy,scala-patterns,k8s/secure/backend/hpa.yaml
111,AlyRagab,golang-user-registration,chart/templates/hpa.yaml
113,AmaniEzz,deploy-nodejs-mongodb-with-kubernetes,deployment.yaml
120,AndrewDryga,helm-chart-elixir,templates/hpa.yaml
124,Anshelen,microservices-deploy,msvc-chart/templates/gateway.yaml
125,AnthonyByansi,ElasticAI_KubeWatch,kubernetes/autoscaler.yaml
127,AnupDudhe,deleteafterpractice,Ingress/Nginxmicro/deploymenthpa.yml
128,AnupDudhe,deleteafterpractice,Ingress/Nginxmicro/deploymenthpa.yml
137,ArthurVardevanyan,HomeLab,kubernetes/quay/base/hpa/mirror.yaml
142,Ascend-Technologies,OpenCTI-HELM-CHART,templates/hpas/opencti-web.yaml
149,AzulSystems,opthub-helm-charts,templates/cache.yaml
150,Azure-Samples,dotnet-container-app,src/ContainerApp.WebApp/k8s-deployment.yaml
151,Azure-Samples,observability-accelerators,accelerators/aks-sb-azmonitor-microservices/src/cargo-processing-api/helm/templates/hpa.yaml
152,Azure-Samples,observability-accelerators,accelerators/aks-sb-azmonitor-microservices/src/valid-cargo-manager/helm/templates/hpa.yaml
153,Azure-Samples,observability-accelerators,accelerators/aks-sb-azmonitor-microservices/src/operations-api/helm/templates/hpa.yaml
154,Azure-Samples,observability-accelerators,accelerators/aks-sb-azmonitor-microservices/src/cargo-processing-validator/helm/templates/hpa.yaml
155,Azure-Samples,observability-accelerators,accelerators/aks-sb-azmonitor-microservices/src/invalid-cargo-manager/helm/templates/hpa.yaml
156,Azure,AppConfiguration-KubernetesProvider,deploy/templates/autoscaling.yaml
157,Azure,aks-app-routing-operator,pkg/manifests/fixtures/nginx/v1.11.2/optional-features-disabled.yaml
158,Azure,aks-app-routing-operator,pkg/manifests/fixtures/nginx/default_version/optional-features-disabled.yaml
159,Azure,aks-app-routing-operator,pkg/manifests/fixtures/nginx/v1.11.2/kube-system.yaml
160,Azure,aks-app-routing-operator,pkg/manifests/fixtures/nginx/default_version/kube-system.yaml
161,Azure,osdu-developer,charts/osdu-developer-service/templates/hpa.yaml
165,Bajocode,polyglot-microservices-webshop,kubernetes/payment-service/templates/hpa.yaml
166,Bajocode,polyglot-microservices-webshop,kubernetes/catalog-service/templates/hpa.yaml
175,BigKAA,youtube,tracing/for_admins/charts/jaeger/jaeger/templates/collector-hpa.yaml
176,BigKAA,youtube,tracing/for_admins/charts/jaeger/jaeger/templates/collector-hpa.yaml
187,Boskey,Learn-ServiceMesh-Workshop,istio.yaml
188,BouyguesTelecom,charts,bouyguestelecom/spin/templates/hpa.yaml
194,Budibase,budibase,charts/budibase/templates/automation-worker-service-hpa.yaml
195,Budibase,budibase,charts/budibase/templates/automation-worker-service-hpa.yaml
196,Budibase,budibase,charts/budibase/templates/automation-worker-service-hpa.yaml
197,Budibase,budibase,charts/budibase/templates/automation-worker-service-hpa.yaml
198,Budibase,budibase,charts/budibase/templates/automation-worker-service-hpa.yaml
201,CAAPIM,layer7-operator,bundle/manifests/layer7-operator.clusterserviceversion.yaml
202,CAVAh,tech-challenge,infra/hpa.yml
203,CAVEconnectome,CAVEdeployment,kubetemplates/skeletoncache.yml
204,CAVEconnectome,CAVEdeployment,kubetemplates/proxy.yml
205,CAVEconnectome,CAVEdeployment,kubetemplates/materialize.yml
206,CAVEconnectome,CAVEdeployment,kubetemplates/proxy.yml
207,CAVEconnectome,CAVEdeployment,kubetemplates/skeletoncache.yml
208,CAVEconnectome,CAVEdeployment,kubetemplates/dash.yml
210,CDCgov,NEDSS-Helm,charts/page-builder-api/templates/hpa.yaml
211,CDCgov,NEDSS-Helm,charts/nifi-efs/templates/hpa.yaml
212,CDCgov,NEDSS-Helm,charts/page-builder-api/templates/hpa.yaml
213,CDCgov,NEDSS-Helm,charts/nifi-efs/templates/hpa.yaml
214,CDCgov,NEDSS-Helm,charts/ldfdata-reporting-service/templates/hpa.yaml
215,CDCgov,NEDSS-Helm,charts/nifi/templates/hpa.yaml
216,CDCgov,NEDSS-Helm,charts/page-builder-api/templates/hpa.yaml
217,CDCgov,NEDSS-Helm,charts/nifi/templates/hpa.yaml
218,CDCgov,NEDSS-Helm,charts/srte-data-service/templates/hpa.yaml
219,CDCgov,NEDSS-Helm,charts/srte-data-service/templates/hpa.yaml
220,CDCgov,NEDSS-Helm,charts/nifi-efs/templates/hpa.yaml
221,CDCgov,NEDSS-Helm,charts/ldfdata-reporting-service/templates/hpa.yaml
222,CDCgov,NEDSS-Helm,charts/page-builder-api/templates/hpa.yaml
223,CDCgov,NEDSS-Helm,charts/nifi/templates/hpa.yaml
227,CS3219-AY2324S1,ay2324s1-course-assessment-g11,deployment/gke-prod-manifests/matching-service-autoscaling.yaml
228,CS3219-AY2324S1,ay2324s1-course-assessment-g11,deployment/gke-prod-manifests/user-service-autoscaling.yaml
233,CaptainFluffyToes,DAP4MAC,files/manifests/dap/dapAccessManifest.yml
238,Casper-Mars,cloud-restaurant,hack/chart/food/templates/hpa.yaml
239,CemalUnal,cloud-native-application-development-workshop,sample-app-kubernetes-manifests/3-backend.yaml
240,CenterForOpenScience,helm-charts,osf-cas/templates/hpa.yaml
241,CenterForOpenScience,helm-charts,prerender/templates/hpa.yaml
242,CentraleSupelec,casa,helm/templates/hpa.yaml
253,Chris-Greaves,planka-helm-chart,templates/hpa.yaml
266,CodFrm,cago,deploy/helm/templates/hpa.yaml
267,CodFrm,cago,deploy/helm/templates/hpa.yaml
268,CodFrm,cago,deploy/helm/templates/hpa.yaml
270,Cognigy,cognigy-ai-helm-chart,templates/service-http/hpa.yaml
271,Cognigy,cognigy-ai-helm-chart,templates/service-session-state-manager/hpa.yaml
282,Cray-HPE,config-framework-service,kubernetes/cray-cfs-api/templates/api-autoscaler.yaml
283,Cray-HPE,config-framework-service,kubernetes/cray-cfs-api/templates/api-autoscaler.yaml
284,Cray-HPE,config-framework-service,kubernetes/cray-cfs-api/templates/api-autoscaler.yaml
290,Cxs1103,Kubernetes.config,tekton/parse2/tekton-pipelines/tekton-0.24.1.yaml
291,Cxs1103,Kubernetes.config,manifests/hpa/hpa-mem.yaml
292,Cxs1103,Kubernetes.config,prometheus/Phase2/Prometheus Adpater/hpa-mem.yaml
311,DUNE-DAQ,daq-kube,.helm-charts/https_grafana.github.io/helm-charts/grafana/8.10.4/templates/hpa.yaml
312,DUNE-DAQ,daq-kube,.helm-charts/https_prometheus-community.github.io/helm-charts/kube-prometheus-stack/70.1.1/charts/grafana/templates/hpa.yaml
332,DaoCloud,dce-charts-repackage,charts/harbor-operator/harbor-operator/templates/hpa.yaml
333,DatNguyen2711,Devops-Pipeline-On-Premise,Helm_Shared_template/services_chart/db/db_chart/templates/hpa.yaml
334,DataDog,helm-charts,charts/observability-pipelines-worker/templates/hpa.yaml
335,DataDog,helm-charts,charts/observability-pipelines-worker/templates/hpa.yaml
337,DataUSA,datausa-site,helm/templates/hpa.yaml
341,David-Crty,helm-charts,helm-charts/plausible/templates/hpa.yaml
342,David-Crty,plausible-helm-chart,charts/plausible/templates/hpa.yaml
347,DependencyTrack,helm-charts,charts/hyades/templates/notification-publisher/hpa.yaml
348,DependencyTrack,helm-charts,charts/hyades/templates/notification-publisher/hpa.yaml
353,DevOpsRunbook,FastCampus,Part6_MSA/Chapter05/helm-charts/templates/skipper/hpa.yaml
354,DevOpsRunbook,FastCampus,Part6_MSA/Chapter12/Ch12_02-jaeger/kubernetes/helm-charts/jaeger/templates/collector-hpa.yaml
355,DevOpsRunbook,FastCampus,Part6_MSA/Chapter13/Ch13_03-spring-cloud-data-flow-batch/kubernetes/helm-charts/spring-cloud-data-flow/templates/skipper/hpa.yaml
357,DevSecOpsSamples,eks-cdk-blueprints,app/sample-rest-api-template.yaml
362,DevopsArtFactory,k8s-app-cahrt,demo/templates/hpa.yaml
366,Diarkis,diarkis-server-template,src/k8s/linode/base/udp/hpa.yaml
373,Dobry-kot,kubernetes,helmCluster/templates/hpa.yaml
381,DreamPWJ,jenkins-shared-library,_k8s/hpa.yaml
382,DucLong06,face-detect-gke-observability-1,observable_systems/K8s/jaeger/charts/elasticsearch/templates/coordinating/hpa.yaml
