repo_name,file_path,url,stargazers_count,created_at,pushed_at,file_committed_at,message
0GiS0/tour-of-heroes-gitops-demos,helm/tour-of-heroes-chart/charts/api/templates/hpa.yaml,https://github.com/0GiS0/tour-of-heroes-gitops-demos/blob/5eb8ffa036032906ee639f7722c335aa51858d47/helm/tour-of-heroes-chart/charts/api/templates/hpa.yaml,2.0,2022-05-02 18:37:39+00:00,2023-08-01 07:52:38+00:00,2022-05-03T06:56:57Z,Añadidas las plantillas en diferentes tecnologías
0hlov3/charts,charts/element-web/templates/hpa.yaml,https://github.com/0hlov3/charts/blob/daca391fcdf26e72231fbb32fe6a56b59cff12d5/charts/element-web/templates/hpa.yaml,4.0,2023-04-17 06:54:36+00:00,2025-03-21 14:11:26+00:00,2023-04-26T19:25:23Z,Migrates Element Chart - Changes some Ingress rules
18F/identity-dashboard,dockerfiles/application.yaml,https://github.com/18F/identity-dashboard/blob/c3b5850d78bd725afb180068cd6796a5fa245245/dockerfiles/application.yaml,25.0,2016-05-09 21:23:58+00:00,2025-03-27 18:20:20+00:00,2025-03-25T13:48:10Z,"Updating application.yaml to work with new base manifests

* Updating application.yaml to work with new base manifests"
18F/identity-dashboard,dockerfiles/application.yaml,https://github.com/18F/identity-dashboard/blob/196f7fb42e1ff5fcdb0666e4fe45f72401c267db/dockerfiles/application.yaml,25.0,2016-05-09 21:23:58+00:00,2025-03-27 18:20:20+00:00,2025-03-25T13:48:10Z,"Updating application.yaml to work with new base manifests

* Updating application.yaml to work with new base manifests"
18F/identity-dashboard,dockerfiles/application.yaml,https://github.com/18F/identity-dashboard/blob/43c9140992d0e5f6ed6082f9f9afd2d15b2e6933/dockerfiles/application.yaml,25.0,2016-05-09 21:23:58+00:00,2025-03-27 18:20:20+00:00,2025-03-25T13:48:10Z,"Updating application.yaml to work with new base manifests

* Updating application.yaml to work with new base manifests"
18F/identity-dashboard,dockerfiles/application.yaml,https://github.com/18F/identity-dashboard/blob/da53be8b13e9c0c57523a68e9095bcccde12c007/dockerfiles/application.yaml,25.0,2016-05-09 21:23:58+00:00,2025-03-27 18:20:20+00:00,2025-03-25T13:48:10Z,"Updating application.yaml to work with new base manifests

* Updating application.yaml to work with new base manifests"
18F/identity-loadtest,coredns.yaml,https://github.com/18F/identity-loadtest/blob/620e39258b83d7be857c39be5722b29e6ccd3ea2/coredns.yaml,3.0,2020-03-24 18:34:02+00:00,2025-03-26 19:26:26+00:00,2025-02-25T23:47:31Z,increase HPA cpu threshold of coredns
18F/identity-loadtest,coredns.yaml,https://github.com/18F/identity-loadtest/blob/bd86d6b309f20e0162b4d757a9d5fe1fdb6ab2ad/coredns.yaml,3.0,2020-03-24 18:34:02+00:00,2025-03-26 19:26:26+00:00,2025-02-25T23:47:31Z,increase HPA cpu threshold of coredns
18F/identity-pki,k8files/application.yaml,https://github.com/18F/identity-pki/blob/58bd3e3664f4e1ed7908ce3b24a45b1e26a4d4db/k8files/application.yaml,23.0,2018-04-09 17:35:12+00:00,2025-03-27 17:46:08+00:00,2025-03-25T13:48:14Z,"Updating application.yaml to override new init containers

* Add missing dashboard

* Updating application.yaml to override new init containers

See merge request lg/identity-pki!81"
2000TuHuynh2002/OPSWAT-final_trainee_project,materials/backend/modules/EKS/helm/todo/templates/hpa.yaml,https://github.com/2000TuHuynh2002/OPSWAT-final_trainee_project/blob/afbd864be95f9943d6a6f7b8cb33c0d378d6c998/materials/backend/modules/EKS/helm/todo/templates/hpa.yaml,2.0,2023-09-07 09:38:37+00:00,2023-12-03 08:57:50+00:00,2023-12-03T08:57:38Z,reup
2gis/on-premise-helm-charts,charts/navi-restrictions/templates/hpa.yaml,https://github.com/2gis/on-premise-helm-charts/blob/9dffc9d5a1f90bec41a649da25a74669fa061b50/charts/navi-restrictions/templates/hpa.yaml,12.0,2021-12-03 12:16:25+00:00,2025-03-28 08:05:52+00:00,2023-01-12T09:25:05Z,fix deprecated (#221)
2gis/on-premise-helm-charts,charts/navi-restrictions/templates/hpa.yaml,https://github.com/2gis/on-premise-helm-charts/blob/cab6f6fe245c2d44c994c6cf6e5e5eb0a5bc9ebe/charts/navi-restrictions/templates/hpa.yaml,12.0,2021-12-03 12:16:25+00:00,2025-03-28 08:05:52+00:00,2023-01-12T09:25:05Z,fix deprecated (#221)
2gis/on-premise-helm-charts,charts/navi-restrictions/templates/hpa.yaml,https://github.com/2gis/on-premise-helm-charts/blob/70843c8cc3dbabc326dee1e49f9359db0774cc61/charts/navi-restrictions/templates/hpa.yaml,12.0,2021-12-03 12:16:25+00:00,2025-03-28 08:05:52+00:00,2023-01-12T09:25:05Z,fix deprecated (#221)
4ALLPORTAL/helm-charts,charts/4allportal/templates/4allportal/horizontalPodAutoscaler.yaml,https://github.com/4ALLPORTAL/helm-charts/blob/b86254cb18b626ae12bfa58ff6063cab58cd59ca/charts/4allportal/templates/4allportal/horizontalPodAutoscaler.yaml,3.0,2022-06-09 12:09:52+00:00,2025-03-27 14:04:51+00:00,2022-06-09T12:06:39Z,feat: Initial commit
8gears/plausible-analytics-helm-chart,templates/hpa.yaml,https://github.com/8gears/plausible-analytics-helm-chart/blob/176945426f2243059fb7c3d6c51ea08e3f3c6fc6/templates/hpa.yaml,42.0,2020-11-18 09:51:22+00:00,2023-11-08 15:19:36+00:00,2020-11-18T09:40:25Z,"add readme, helmfile"
99nil/arceus,static/kubernetes/autoscaling/HorizontalPodAutoscaler/v2beta2.yaml,https://github.com/99nil/arceus/blob/7c992ab97d9bf8317e8f74f4e6d0b4cac4aa0fe2/static/kubernetes/autoscaling/HorizontalPodAutoscaler/v2beta2.yaml,13.0,2021-04-05 12:14:37+00:00,2022-09-28 09:04:14+00:00,2022-07-18T03:27:10Z,update kubernetes resources; support patch to resources
A1doranM/HowProgrammingWork,"Docker, Kubernetes, Swarm/5. Kubernetes Hands On/44, 45, 46, 47, 48. Установка self-managed GitLab в AWS EKS/k8s/gitlab/gitlab.yaml","https://github.com/A1doranM/HowProgrammingWork/blob/f07060346a48694ce031df2c9853dba7027317a3/Docker,%20Kubernetes,%20Swarm/5.%20Kubernetes%20Hands%20On/44,%2045,%2046,%2047,%2048.%20%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0%20self-managed%20GitLab%20%D0%B2%20AWS%20EKS/k8s/gitlab/gitlab.yaml",6.0,2021-07-28 12:42:21+00:00,2025-03-25 13:35:46+00:00,2024-03-04T09:00:10Z,Kubernetes Hands On
A1doranM/HowProgrammingWork,"Docker, Kubernetes, Swarm/5. Kubernetes Hands On/44, 45, 46, 47, 48. Установка self-managed GitLab в AWS EKS/k8s/gitlab/gitlab.yaml","https://github.com/A1doranM/HowProgrammingWork/blob/67d987e2de0b54133f7260f42d8d31b8a3c0d75a/Docker,%20Kubernetes,%20Swarm/5.%20Kubernetes%20Hands%20On/44,%2045,%2046,%2047,%2048.%20%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0%20self-managed%20GitLab%20%D0%B2%20AWS%20EKS/k8s/gitlab/gitlab.yaml",6.0,2021-07-28 12:42:21+00:00,2025-03-25 13:35:46+00:00,2024-03-04T09:00:10Z,Kubernetes Hands On
A1doranM/HowProgrammingWork,"Docker, Kubernetes, Swarm/5. Kubernetes Hands On/44, 45, 46, 47, 48. Установка self-managed GitLab в AWS EKS/k8s/gitlab/gitlab.yaml","https://github.com/A1doranM/HowProgrammingWork/blob/f154f8ad12fd5f216595cfea8766e0d8631b535e/Docker,%20Kubernetes,%20Swarm/5.%20Kubernetes%20Hands%20On/44,%2045,%2046,%2047,%2048.%20%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0%20self-managed%20GitLab%20%D0%B2%20AWS%20EKS/k8s/gitlab/gitlab.yaml",6.0,2021-07-28 12:42:21+00:00,2025-03-25 13:35:46+00:00,2024-03-04T09:00:10Z,Kubernetes Hands On
AOT-Technologies/forms-flow-ai-charts,charts/forms-flow-data-analysis/templates/hpa.yaml,https://github.com/AOT-Technologies/forms-flow-ai-charts/blob/3f179e25a281ddaf18486dbac5cd5cc70d75ee35/charts/forms-flow-data-analysis/templates/hpa.yaml,4.0,2022-02-16 18:08:21+00:00,2025-03-27 11:00:39+00:00,2024-09-18T15:26:11Z,upgraded files
Abxtracted/abxtracted,k8s/hpa.yml,https://github.com/Abxtracted/abxtracted/blob/5bad9f571ba5d5782e564b13e9b93c79934c9b1e/k8s/hpa.yml,2.0,2016-11-09 22:46:26+00:00,2018-03-14 16:37:40+00:00,2017-05-18T03:29:08Z,domain cookie fix
ActiveLearningStudio/ActiveLearningStudio-API,charts/curriki/templates/trax.yaml,https://github.com/ActiveLearningStudio/ActiveLearningStudio-API/blob/1326d2186c02ff2a930dc16cb685a475e3184729/charts/curriki/templates/trax.yaml,11.0,2020-07-07 18:56:26+00:00,2024-03-28 12:19:18+00:00,2023-02-13T07:47:48Z,charts updated
Adesoji1/Configure-resources-on-a-Kubernetes-Cluster,kubernetes_cluster_resources/nginx-chart/templates/hpa.yaml,https://github.com/Adesoji1/Configure-resources-on-a-Kubernetes-Cluster/blob/ff2dcff87d23d8cf8a1600de7bbf77255e0499d1/kubernetes_cluster_resources/nginx-chart/templates/hpa.yaml,22.0,2023-04-07 21:08:02+00:00,2023-05-09 17:49:56+00:00,2023-04-07T21:12:15Z,first push
