Owner,Project,File Path,hpa_count,apiVersion,Is Helm Template,Metric Name,Metric Type,Target Value,Has Behavior,stargazers_count,created_at,pushed_at,file_committed_at,message
solo-io,service-mesh-for-less-blog,search_results/solo-io/service-mesh-for-less-blog/tiered-app/30-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,30,autoscaling/v2,False,cpu,Resource,80,False,3,2024-03-14T00:05:33Z,2024-06-24T16:23:15Z,2024-05-15T20:20:52Z,add l4/l7 policy
vigsachi,erlang,search_results/vigsachi/erlang/models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,11,autoscaling/v2beta1,False,memory,Resource,,False,7,2024-03-02T23:08:27Z,2024-11-11T00:24:46Z,2024-03-02T23:11:40Z,"added all code for setup, training, evaluation"
shaohaiyang,easyKubernetes,search_results/shaohaiyang/easyKubernetes/samples/knative/istio.yaml,6,autoscaling/v2beta1,False,cpu,Resource,,False,6,2018-05-27T03:24:33Z,2023-11-30T02:52:04Z,2023-11-30T02:51:53Z,update Kubernetes v1.29ansible playbook
Young-ook,terraform-aws-fis,search_results/Young-ook/terraform-aws-fis/examples/blueprint/apps/sockshop/sockshop-demo-hpa.yaml,6,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,8,2022-04-18T00:04:54Z,2025-03-06T23:01:54Z,2022-12-13T07:04:55Z,"feat(blueprint): awsfis blueprint (#69)

* feat(fis): awsfis blueprint

* docs(fis): awsfis blueprint url

* fix(blueprint): remove filters from the reboot db experiment

* fix(blueprint): add elasticache subnet group

* fix(blueprint): update default values

* fix(blueprint): update module dependencies

* fix(blueprint): modify module name

* fix(blueprint): remove vpc dependency from eks

* feat(blueprint): lamp, redispy build projects"
MartinHeinz,metrics-on-kind,search_results/MartinHeinz/metrics-on-kind/hpa.yaml,5,autoscaling/v2,False,,ContainerResource,,False,4,2022-05-19T12:06:59Z,2023-01-06T10:06:05Z,2022-05-19T12:37:17Z,Initial commit.
ZenHubHQ,zenhub-enterprise,search_results/ZenHubHQ/zenhub-enterprise/k8s-cluster/options/scaling/deployments-scaling.yaml,5,autoscaling/v2,False,,,,False,14,2020-11-05T16:44:40Z,2024-10-11T21:08:51Z,2024-05-10T21:26:51Z,4.2.0 release
hustcat,my-handbook,search_results/hustcat/my-handbook/kubernetes/istio/resource/istio.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,5,2018-12-06T04:00:11Z,2018-12-15T04:45:44Z,2018-12-14T14:41:42Z,Add istio.yaml
nikkkkhil,tensorRT-NVIDIA,search_results/nikkkkhil/tensorRT-NVIDIA/examples/90_Kubernetes/istio/rendered/istio-v1.0-minikube.yml,5,autoscaling/v2beta1,False,cpu,Resource,,False,4,2019-12-04T08:45:11Z,2023-01-27T01:10:39Z,2019-12-04T08:45:20Z,commit
solo-io,service-mesh-for-less-blog,search_results/solo-io/service-mesh-for-less-blog/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,3,2024-03-14T00:05:33Z,2024-06-24T16:23:15Z,2024-05-15T20:20:52Z,add l4/l7 policy
danehans,federated-istio,search_results/danehans/federated-istio/v1.0.3/src/istio.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,2,2018-11-16T16:26:40Z,2018-12-11T06:00:20Z,2018-11-16T16:40:53Z,Initial commit. Moved content from danehans/fedv2-manifests
ihcsim,linkerd2-benchmark,search_results/ihcsim/linkerd2-benchmark/gke/yaml/istio-1.0.3.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,17,2018-11-15T05:08:53Z,2019-01-23T05:09:48Z,2018-11-18T05:16:26Z,Run tests on GKE
Boskey,Learn-ServiceMesh-Workshop,search_results/Boskey/Learn-ServiceMesh-Workshop/istio.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,13,2018-11-19T20:50:29Z,2018-12-13T20:43:51Z,2018-12-07T22:10:41Z,updated YAML to add Jaeger Support
