Owner,Project,File Path,hpa_count,apiVersion,Is Helm Template,Metric Name,Metric Type,Target Value,Has Behavior,stargazers_count,created_at,pushed_at,file_first_commit,file_last_commit
solo-io,service-mesh-for-less-blog,search_results/solo-io/service-mesh-for-less-blog/tiered-app/30-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,30,autoscaling/v2,False,cpu,Resource,80,False,3,2024-03-14T00:05:33Z,2024-06-24T16:23:15Z,2024-03-19T19:28:50Z,2024-05-15T20:20:52Z
vigsachi,erlang,search_results/vigsachi/erlang/models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,11,autoscaling/v2beta1,False,memory,Resource,,False,7,2024-03-02T23:08:27Z,2024-11-11T00:24:46Z,2024-03-02T23:11:40Z,2024-03-02T23:11:40Z
Young-ook,terraform-aws-fis,search_results/Young-ook/terraform-aws-fis/examples/blueprint/apps/sockshop/sockshop-demo-hpa.yaml,6,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,8,2022-04-18T00:04:54Z,2025-03-06T23:01:54Z,2022-12-13T07:04:55Z,2022-12-13T07:04:55Z
shaohaiyang,easyKubernetes,search_results/shaohaiyang/easyKubernetes/samples/knative/istio.yaml,6,autoscaling/v2beta1,False,cpu,Resource,,False,6,2018-05-27T03:24:33Z,2023-11-30T02:52:04Z,2023-11-30T02:51:53Z,2023-11-30T02:51:53Z
nikkkkhil,tensorRT-NVIDIA,search_results/nikkkkhil/tensorRT-NVIDIA/examples/90_Kubernetes/istio/rendered/istio-v1.0-minikube.yml,5,autoscaling/v2beta1,False,cpu,Resource,,False,4,2019-12-04T08:45:11Z,2023-01-27T01:10:39Z,2019-12-04T08:45:20Z,2019-12-04T08:45:20Z
ZenHubHQ,zenhub-enterprise,search_results/ZenHubHQ/zenhub-enterprise/k8s-cluster/options/scaling/deployments-scaling.yaml,5,autoscaling/v2,False,,,,False,14,2020-11-05T16:44:40Z,2024-10-11T21:08:51Z,2021-03-05T23:39:58Z,2024-05-10T21:26:51Z
hustcat,my-handbook,search_results/hustcat/my-handbook/kubernetes/istio/resource/istio.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,5,2018-12-06T04:00:11Z,2018-12-15T04:45:44Z,2018-12-14T14:41:42Z,2018-12-14T14:41:42Z
ihcsim,linkerd2-benchmark,search_results/ihcsim/linkerd2-benchmark/gke/yaml/istio-1.0.3.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,17,2018-11-15T05:08:53Z,2019-01-23T05:09:48Z,2018-11-18T05:16:26Z,2018-11-18T05:16:26Z
Boskey,Learn-ServiceMesh-Workshop,search_results/Boskey/Learn-ServiceMesh-Workshop/istio.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,13,2018-11-19T20:50:29Z,2018-12-13T20:43:51Z,2018-11-20T01:01:13Z,2018-12-07T22:10:41Z
solo-io,aoa-catalog,search_results/solo-io/aoa-catalog/environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,16,2023-02-07T17:47:41Z,2025-04-02T22:41:09Z,2025-01-17T01:19:53Z,2025-01-17T01:19:53Z
solo-io,aoa-catalog,search_results/solo-io/aoa-catalog/environments/istio/ambient-demo/uniform-apps/apps/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,16,2023-02-07T17:47:41Z,2025-04-02T22:41:09Z,2024-03-15T01:43:29Z,2024-05-16T03:18:11Z
solo-io,aoa-catalog,search_results/solo-io/aoa-catalog/environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,16,2023-02-07T17:47:41Z,2025-04-02T22:41:09Z,2024-12-26T19:04:52Z,2024-12-26T19:04:52Z
solo-io,service-mesh-for-less-blog,search_results/solo-io/service-mesh-for-less-blog/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,3,2024-03-14T00:05:33Z,2024-06-24T16:23:15Z,2024-03-14T00:07:24Z,2024-05-15T20:20:52Z
danehans,federated-istio,search_results/danehans/federated-istio/v1.0.3/src/istio.yaml,5,autoscaling/v2beta1,False,cpu,Resource,,False,2,2018-11-16T16:26:40Z,2018-12-11T06:00:20Z,2018-11-16T16:40:53Z,2018-11-16T16:40:53Z
grafana,pyroscope,search_results/grafana/pyroscope/operations/pyroscope/helm/pyroscope/rendered/micro-services-hpa.yaml,4,autoscaling/v2,False,cpu,Resource,40,False,10444,2020-12-31T05:47:19Z,2025-04-05T06:05:49Z,2024-04-04T13:59:09Z,2025-03-27T12:13:11Z
kublr,workshop-microservice-build-pipeline,search_results/kublr/workshop-microservice-build-pipeline/tools/istio.yaml,4,autoscaling/v2beta1,False,cpu,Resource,,False,2,2018-05-17T14:08:15Z,2018-11-12T18:45:56Z,2018-11-09T13:45:02Z,2018-11-09T13:45:02Z
gianlucam76,k8s-cleaner,search_results/gianlucam76/k8s-cleaner/internal/controller/executor/validate_aggregatedselection/unused_horizontal-pod-autoscalers/resources.yaml,3,autoscaling/v2,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,452,2023-12-06T12:22:28Z,2025-04-05T14:15:06Z,2023-12-15T16:15:43Z,2023-12-15T16:15:43Z
ZackButcher,hybrid-demo,search_results/ZackButcher/hybrid-demo/istio.yaml,3,autoscaling/v2beta1,False,cpu,Resource,,False,10,2018-05-03T20:55:02Z,2018-05-08T18:29:44Z,2018-05-08T02:34:11Z,2018-05-08T02:34:11Z
soulsah,tech_challenge,search_results/soulsah/tech_challenge/k8s/hpa.yaml,3,autoscaling/v2,False,memory,Resource,70,False,2,2023-10-29T19:09:48Z,2024-05-13T02:20:41Z,2024-03-10T00:48:45Z,2024-03-10T23:56:18Z
